kind,from,to,count,sent
override,würd,werden,12,6276
override,verlinkt,verlinken,9,332
override,danke,danken,6,1523
override,wär,sein,6,1735
override,freu,freuen,5,751
override,wüsste,wissen,5,1271
override,find,finden,5,6443
override,warst,sein,4,364
override,isst,essen,4,1247
override,darfst,dürfen,4,1711
override,bräuchte,brauchen,4,2426
override,frag,fragen,3,79
override,tu,tun,3,178
override,gefällt,gefallen,3,219
override,komm,kommen,3,238
override,guck,gucken,3,596
override,gelangt,gelangen,3,1142
override,versteh,verstehen,3,1150
override,verlinke,verlinken,3,1292
override,reingelegt,reinlegen,3,1852
override,angepasst,anpassen,3,2001
override,schlafe,schlafen,3,2406
override,wartest,warten,3,3331
override,hattest,haben,3,3491
override,zeig,zeigen,3,4497
override,vergisst,vergessen,3,5059
override,solltet,sollen,3,5226
override,könntest,können,3,7117
override,schlag,schlagen,2,238
override,willst,wollen,2,294
override,vergiss,vergessen,2,1148
override,recherchiert,recherchieren,2,1537
override,vergesst,bergessen,2,1860
override,besuchst,besuchen,2,1869
override,kämpf,kämpfen,2,1871
override,müsste,müssen,2,2295
override,schaust,schauen,2,2635
override,kaufst,kaufen,2,2666
override,wünsch,wünschen,2,3048
override,frisst,fressen,2,3067
override,würdet,werden,2,3098
override,müsstest,müssen,2,3423
override,ging's,gingen,2,3696
override,fragst,fragen,2,4256
override,bleib,bleiben,2,4419
override,weitergeleitet,weiterleiten,2,4984
override,denk,denken,2,5831
override,studier,studieren,2,6368
override,arbeitest,arbeiten,2,6470
override,wusstet,wissen,2,7034
override,seh,sehen,2,7641
override,drücktest,drücken,1,130
override,versickert,versickern,1,172
override,verlink,verlinken,1,173
override,scheitert,scheitern,1,200
override,demütige,demütigen,1,241
override,destabilisiert,destabilisieren,1,251
override,angefreundet,anfreunden,1,321
override,schnapp,schnappen,1,322
override,musstest,müssen,1,371
override,habt,haben,1,433
override,trank,trinken,1,455
override,missbraucht,mißbrauchen,1,533
override,klickt,klicken,1,831
override,auseinandergesetzt,auseinandersetzen,1,842
override,anläuft,anlaufen,1,881
override,fände,finden,1,912
override,zurückgerudert,zurückrudern,1,961
override,aufgemalt,aufmalen,1,994
override,verredet,verreden,1,1033
override,bewegst,bewegen,1,1034
override,hochgespielt,hochspielen,1,1186
override,spielst,spielen,1,1192
override,lügst,lügen,1,1416
override,vertretene,vertreten,1,1474
override,kapierte,kapieren,1,1556
override,schaff,schaffen,1,1559
override,fühlt,fühlen,1,1573
override,steig,steigen,1,1588
override,mitbringst,mitbringen,1,1735
override,eingewählt,einwählen,1,1758
override,eingeschickt,einschicken,1,1821
override,vibriert,vibrieren,1,1834
override,schwör,schwören,1,2017
override,kanns,können,1,2022
override,schmeiß,schmeißen,1,2060
override,hilfst,helfen,1,2101
override,angefühlt,anfühlen,1,2108
override,schlaf,schlafen,1,2120
override,gekackt,kacken,1,2165
override,zelebriert,zelebrieren,1,2261
override,schmilzt,schmelzen,1,2535
override,hinausgeht,hinausgehen,1,2546
override,ausgereift,ausreifen,1,2564
override,erklär,erklären,1,2582
override,eingejagt,einjagen,1,2598
override,eingegliedert,eingliedern,1,2599
override,maskiert,maskieren,1,2609
override,überlegst,überlegen,1,2644
override,verlierst,verlieren,1,2743
override,nennst,nennen,1,2823
override,springst,springen,1,2906
override,anfängst,anfangen,1,2976
override,anstößt,anstoßen,1,3005
override,vertreibt,vertreiben,1,3097
override,reingeht,reingehen,1,3141
override,freigeschaltet,freischalten,1,3179
override,schieß,schießen,1,3240
override,überschritt,überschreiten,1,3305
override,fang,fangen,1,3398
override,wärst,sein,1,3400
override,anbricht,anbrechen,1,3445
override,eingeplant,einplanen,1,3501
override,herabgespielt,herabspielen,1,3538
override,weghat,weghaben,1,3547
override,schämst,schämen,1,3567
override,trockengelegt,trockenlegen,1,3578
override,bereu,bereuen,1,3603
override,verhefte,verheften,1,3618
override,bezwingt,bezwingen,1,3655
override,gewöhnst,gewöhnen,1,3725
override,einbricht,einbrechen,1,3758
override,scheinst,scheinen,1,3819
override,überdramatisiert,überdramatisieren,1,3849
override,reg,regen,1,3959
override,bitte,bitten,1,4016
override,besorg,besorgen,1,4017
override,zusammengeschraubt,zusammenschrauben,1,4073
override,ziehst,ziehen,1,4076
override,empfehl,empfehlen,1,4186
override,beruhige,beruhigen,1,4229
override,erzähl,erzählen,1,4281
override,gestylt,stylen,1,4286
override,postet,posen,1,4304
override,schreist,schreien,1,4334
override,beginnst,beginnen,1,4467
override,mitfinanziert,mitfinanzieren,1,4527
override,scanne,scannen,1,4574
